"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","Bd_inhibition","change"
"822d52e73fe1804833ece588dc4515e9",3490.73691065439,-2.24839394451552,0.839076897749387,0.00994748960722815,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","","inhibitory","Decrease"
"c6a33d143b0b1bcf4004c909a4af6aa8",10.0685449966837,-6.72272930098888,2.51864686869688,0.0101714850299343,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured","",NA,"Decrease"
"425312148527b2671fbdd3b3e02b240c",3.76000986603653,-5.30144873399017,1.99049179752018,0.0103032106730049,"Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","uncultured_bacterium",NA,"Decrease"
"32181b006051d0c53a829c211710b508",4.89026565933444,-5.68081358279237,2.13686565121557,0.0104090028476654,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","AAP99","",NA,"Decrease"
"4cfe5b5468150f8a54cf003ea4c15603",4.66762461208122,-5.01239907107653,1.90167792852474,0.0110727385207633,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca","uncultured_bacterium",NA,"Decrease"
"12a3ce18fe1e21f71614db31daa6b0cd",6.21518384244622,-6.0275305103028,2.30606285302853,0.0117219307220853,"Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Runella","uncultured_bacterium",NA,"Decrease"
"8735f92a7f18db944bc862777fbd3222",564.312342464194,-2.93741052106155,1.13008359673904,0.0121762639031772,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","","",NA,"Decrease"
"2ffc5bba8b56d331697fbd2db663fa69",4.4236921637676,-5.53766959565568,2.1321709817048,0.0121984175411796,"Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group","uncultured_Bacteroidetes",NA,"Decrease"
"de3d0e440533123bef372ef43c19f3aa",4.22907679312704,-5.47190546152977,2.11435488866961,0.0124240455508776,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","",NA,"Decrease"
"1ed781b315c97b372a3df2a9c30feb69",8.70991617593758,-6.51315390134448,2.51595352460551,0.0124240455508776,"Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","Methylomonas_sp.",NA,"Decrease"
"5648dccee530d68ceb3e4d7d22cf8756",5.85947631097673,-5.94272569900423,2.30418652258485,0.0126944492732415,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_marginalis",NA,"Decrease"
"bf1a3f0d17d836dae864713fd8ea4f4e",1948.51381780685,-2.63868867449692,1.03137262371581,0.0134184357052159,"Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","",NA,"Decrease"
